model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
llama2-70b,a100-80gb,1024,1,128,1.037425,0.72645,377.0576189,54.89214524,7352.521658,2
llama2-70b,a100-80gb,1024,1,128,1.037425,0.72645,376.2380041,54.84927478,7346.039295,2
llama2-70b,a100-80gb,1024,1,128,1.037425,0.72645,376.616904,54.77079764,7336.421967,2
llama2-70b,a100-80gb,1024,1,128,1.037425,0.72645,377.241778,54.76076573,7335.627317,2
llama2-70b,a100-80gb,1024,1,128,1.037425,0.72645,379.220238,54.6777806,7327.099323,2
llama2-70b,h100-80gb,1024,1,128,0,0,157.950093,37.40945292,4913.107872,2
llama2-70b,h100-80gb,1024,1,128,0,0,158.125967,37.2390876,4891.878605,2
llama2-70b,h100-80gb,1024,1,128,0,0,158.518875,37.33590331,4904.99115,2
llama2-70b,h100-80gb,1024,1,128,0,0,157.602568,37.3871552,4910.056591,2
llama2-70b,h100-80gb,1024,1,128,0,0,156.818394,37.42337923,4914.111853,2
llama2-70b,a100-80gb,2048,1,128,1.061625,0.714975,685.5675839,54.92772532,7667.066097,2
llama2-70b,a100-80gb,2048,1,128,1.061625,0.714975,688.0542291,54.88583422,7664.45899,2
llama2-70b,a100-80gb,2048,1,128,1.061625,0.714975,685.6023069,54.89274779,7662.707329,2
llama2-70b,a100-80gb,2048,1,128,1.061625,0.714975,688.471545,54.8126686,7655.326605,2
llama2-70b,a100-80gb,2048,1,128,1.061625,0.714975,688.608215,54.68565351,7639.36758,2
llama2-70b,h100-80gb,2048,1,128,0,0,300.152335,37.42767706,5060.204744,2
llama2-70b,h100-80gb,2048,1,128,0,0,307.307143,37.42090792,5066.311359,2
llama2-70b,h100-80gb,2048,1,128,0,0,310.316721,37.32269881,5057.285309,2
llama2-70b,h100-80gb,2048,1,128,0,0,312.491943,37.36661918,5064.700603,2
llama2-70b,h100-80gb,2048,1,128,0,0,310.821023,37.35390152,5061.660767,2
llama2-70b,a100-80gb,4096,1,128,1.0855625,0.67935,1501.863607,55.9497331,8619.315147,2
llama2-70b,a100-80gb,4096,1,128,1.0855625,0.67935,1493.968006,55.89810585,8604.693174,2
llama2-70b,a100-80gb,4096,1,128,1.0855625,0.67935,1483.582414,55.34013406,8523.167849,2
llama2-70b,a100-80gb,4096,1,128,1.0855625,0.67935,1442.407269,55.86856019,8548.893452,2
llama2-70b,a100-80gb,4096,1,128,1.0855625,0.67935,1485.34735,55.82165698,7078.313828,2
llama2-70b,h100-80gb,4096,1,128,0,0,644.828726,37.42705267,5411.575794,2
llama2-70b,h100-80gb,4096,1,128,0,0,636.335421,37.45115278,5406.961203,2
llama2-70b,h100-80gb,4096,1,128,0,0,639.641371,37.6441319,5434.225798,2
llama2-70b,h100-80gb,4096,1,128,0,0,642.661618,37.60989032,5432.567835,2
llama2-70b,h100-80gb,4096,1,128,0,0,646.59359,37.53573136,4414.263725,2
llama2-70b,a100-80gb,8192,1,128,1.0123,0.18185,2974.356986,57.15543389,10264.20331,2
llama2-70b,a100-80gb,8192,1,128,1.0123,0.18185,2990.181213,57.45004303,10316.5369,2
llama2-70b,a100-80gb,8192,1,128,1.0123,0.18185,2998.086,57.49655804,10330.15442,2
llama2-70b,a100-80gb,8192,1,128,1.0123,0.18185,2977.041954,57.29309476,10283.47278,2
llama2-70b,a100-80gb,8192,1,128,1.0123,0.18185,3011.867653,57.3202618,10321.48123,2
llama2-70b,h100-80gb,8192,1,128,0,0,1340.263836,37.8042485,6182.897568,2
llama2-70b,h100-80gb,8192,1,128,0,0,1337.200369,37.85045723,6184.368372,2
llama2-70b,h100-80gb,8192,1,128,0,0,1339.841728,37.84912146,6191.299677,2
llama2-70b,h100-80gb,8192,1,128,0,0,1343.046417,37.75893343,6181.681871,2
llama2-70b,h100-80gb,8192,1,128,0,0,1335.428783,37.79265962,6177.887201,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,196.2532192,54.87951194,7168.983698,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,195.5616639,54.85629276,7165.270329,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,197.4401758,54.80496004,7160.75325,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,196.8623791,54.85648231,7166.614532,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,197.1440038,54.8129801,7161.34119,2
llama2-70b,h100-80gb,512,1,128,0,0,85.39954998,36.97136075,4784.076691,2
llama2-70b,h100-80gb,512,1,128,0,0,83.41073204,37.05370054,4792.494059,2
llama2-70b,h100-80gb,512,1,128,0,0,83.82702799,37.10623497,4799.792051,2
llama2-70b,h100-80gb,512,1,128,0,0,82.85058598,36.99995854,4785.681725,2
llama2-70b,h100-80gb,512,1,128,0,0,83.82929297,36.86513585,4769.047499,2
llama2-70b,a100-80gb,512,1,256,0,0,194.4362669,59.91726426,15477.8204,2
llama2-70b,a100-80gb,512,1,256,0,0,194.957427,60.01570433,15503.15857,2
llama2-70b,a100-80gb,512,1,256,0,0,195.794542,60.08166898,15520.71786,2
llama2-70b,a100-80gb,512,1,256,0,0,195.0028801,60.07118528,15517.37285,2
llama2-70b,a100-80gb,512,1,256,0,0,195.271656,59.99464216,14418.02573,2
llama2-70b,h100-80gb,512,1,256,0,0,83.70882901,37.13438651,9558.478355,2
llama2-70b,h100-80gb,512,1,256,0,0,83.31716404,37.23255288,9583.586693,2
llama2-70b,h100-80gb,512,1,256,0,0,92.62978501,37.23704717,9593.435526,2
llama2-70b,h100-80gb,512,1,256,0,0,83.804433,37.3182989,9605.420828,2
llama2-70b,h100-80gb,512,1,256,0,0,89.94766901,37.16674993,8903.689384,2
llama2-70b,a100-80gb,512,1,512,0,0,193.515831,59.94851895,30835.0873,2
llama2-70b,a100-80gb,512,1,512,0,0,195.524281,59.93995725,30832.65615,2
llama2-70b,a100-80gb,512,1,512,0,0,194.414846,59.64539899,9800.534725,2
llama2-70b,a100-80gb,512,1,512,0,0,194.515753,60.00456236,30864.46834,2
llama2-70b,a100-80gb,512,1,512,0,0,195.0025629,60.34111917,31037.70804,2
llama2-70b,h100-80gb,512,1,512,0,0,83.88802502,37.41897621,19214.57434,2
llama2-70b,h100-80gb,512,1,512,0,0,84.34234699,37.33056281,19169.91591,2
llama2-70b,h100-80gb,512,1,512,0,0,84.83688399,37.29356039,19151.57986,2
llama2-70b,h100-80gb,512,1,512,0,0,83.703877,37.36888581,19189.16345,2
llama2-70b,h100-80gb,512,1,512,0,0,84.07573897,37.34890721,19178.96652,2
llama2-70b,a100-80gb,512,1,1024,0,0,194.7005211,59.61368032,10153.44381,2
llama2-70b,a100-80gb,512,1,1024,0,0,194.574356,59.96149838,34740.96775,2
llama2-70b,a100-80gb,512,1,1024,0,0,195.721805,60.54843465,62151.04055,2
llama2-70b,a100-80gb,512,1,1024,0,0,194.892299,59.69291833,15540.44056,2
llama2-70b,a100-80gb,512,1,1024,0,0,195.480064,59.69943423,19244.65656,2
llama2-70b,h100-80gb,512,1,1024,0,0,83.95396901,37.06656553,6277.938366,2
llama2-70b,h100-80gb,512,1,1024,0,0,83.94332702,37.10037209,38055.90987,2
llama2-70b,h100-80gb,512,1,1024,0,0,83.900119,36.89470759,6211.33256,2
