arrival_timestamp,prompt_size,token_size,request_id,application_id,batch_size,request_type
00:23.9,1091,411,15737,0,1,2
00:24.3,1261,129,15738,0,1,2
00:24.3,399,77,15739,0,1,2
00:24.5,1040,420,15741,0,1,2
00:24.5,1037,81,15740,0,1,2
00:24.8,1022,411,15742,0,1,2
00:25.0,413,124,15743,0,1,2
00:25.3,5776,134,15744,0,1,2
00:25.5,397,99,15745,0,1,2
00:25.7,410,137,15746,0,1,2
00:25.8,241,62,15747,0,1,2
00:25.8,127,194,15748,0,1,2
00:26.4,404,122,15749,0,1,2
00:26.4,224,54,15750,0,1,2
00:26.7,1031,379,15751,0,1,2
00:26.9,1549,132,15752,0,1,2
00:27.1,1162,396,15753,0,1,2
00:27.2,1613,115,15754,0,1,2
00:27.4,397,80,15755,0,1,2
00:27.5,1083,446,15756,0,1,2
00:27.5,27,116,15757,0,1,2
00:27.6,927,90,15758,0,1,2
00:27.9,1018,411,15759,0,1,2
00:28.1,606,117,15760,0,1,2
00:28.8,1312,138,15761,0,1,2
00:29.0,1660,113,15762,0,1,2
00:29.0,989,420,15763,0,1,2
00:29.0,483,95,15764,0,1,2
00:29.1,421,89,15765,0,1,2
00:29.5,1315,68,15766,0,1,2
00:29.6,181,179,15767,0,1,2
00:29.7,1491,57,15768,0,1,2
00:29.9,1633,224,15769,0,1,2
00:30.3,4251,109,15771,0,1,2
00:30.3,209,174,15770,0,1,2
00:30.4,22,129,15772,0,1,2
00:30.5,3171,147,15773,0,1,2
00:30.6,1679,108,15774,0,1,2
00:31.1,1416,472,15775,0,1,2
00:31.4,120,12,15776,0,1,2
00:31.8,1002,386,15778,0,1,2
00:31.8,209,179,15777,0,1,2
00:31.9,1416,407,15779,0,1,2
00:32.1,1032,417,15780,0,1,2
00:32.4,4127,83,15781,0,1,2
00:32.4,1104,83,15782,0,1,2
00:32.5,1161,429,15783,0,1,2
00:32.5,1032,447,15784,0,1,2
00:32.8,1366,104,15785,0,1,2
00:32.9,197,163,15786,0,1,2
00:33.3,2753,103,15787,0,1,2
00:33.4,428,64,15788,0,1,2
00:33.8,1096,415,15789,0,1,2
00:33.9,181,232,15790,0,1,2
00:34.0,7096,111,15792,0,1,2
00:34.0,982,401,15791,0,1,2
00:34.1,1050,396,15793,0,1,2
00:34.4,1533,69,15794,0,1,2
00:34.5,4251,81,15796,0,1,2
00:34.5,1054,410,15797,0,1,2
00:34.5,426,122,15798,0,1,2
00:34.5,77,98,15795,0,1,2
00:34.6,401,101,15799,0,1,2
00:34.9,1106,644,15801,0,1,2
00:34.9,998,441,15800,0,1,2
00:35.4,606,65,15802,0,1,2
00:35.4,197,176,15803,0,1,2
00:35.5,999,411,15804,0,1,2
00:35.9,263,116,15805,0,1,2
00:36.0,902,136,15806,0,1,2
00:36.1,5345,111,15808,0,1,2
00:36.1,1039,395,15807,0,1,2
00:36.2,1127,429,15809,0,1,2
00:36.3,1055,419,15810,0,1,2
00:36.9,398,79,15811,0,1,2
00:37.1,169,217,15812,0,1,2
00:37.3,415,111,15813,0,1,2
00:37.5,1049,414,15814,0,1,2
00:37.6,1036,399,15816,0,1,2
00:37.6,465,86,15815,0,1,2
00:38.3,1032,403,15817,0,1,2
00:38.7,3628,81,15818,0,1,2
00:38.9,389,101,15819,0,1,2
00:39.0,1147,163,15820,0,1,2
00:39.1,1075,491,15821,0,1,2
00:39.2,1268,76,15822,0,1,2
00:39.3,1118,388,15824,0,1,2
00:39.3,200,217,15823,0,1,2
00:39.4,327,18,15825,0,1,2
00:39.5,410,92,15826,0,1,2
00:40.3,1904,106,15827,0,1,2
00:40.3,1495,102,15832,0,1,2
00:40.3,1043,392,15830,0,1,2
00:40.3,979,393,15829,0,1,2
00:40.3,964,609,15828,0,1,2
00:40.3,237,15,15831,0,1,2
00:40.4,3882,105,15834,0,1,2
00:40.4,1013,405,15833,0,1,2
00:40.4,818,85,15835,0,1,2
00:41.0,998,475,15837,0,1,2
00:41.0,209,217,15836,0,1,2
00:41.4,647,89,15839,0,1,2
00:41.4,415,91,15838,0,1,2
00:41.5,1036,395,15840,0,1,2
00:41.5,1026,404,15841,0,1,2
00:42.0,206,217,15842,0,1,2
00:42.4,1032,429,15843,0,1,2
00:42.4,584,76,15844,0,1,2
00:42.6,1471,50,15845,0,1,2
00:42.7,2348,73,15846,0,1,2
00:42.8,403,116,15847,0,1,2
00:43.1,209,217,15848,0,1,2
