arrival_timestamp,prompt_size,token_size,request_id,application_id,batch_size,request_type
20:20.7,247,84,143,0,1,2
20:20.7,3854,10,144,0,1,2
20:20.7,83,6,145,0,1,2
20:20.8,156,21,146,0,1,2
20:20.8,247,71,147,0,1,2
20:20.9,3066,12,148,0,1,2
20:20.9,3517,11,149,0,1,2
20:20.9,2081,6,150,0,1,2
20:20.9,143,12,151,0,1,2
20:21.0,2649,20,152,0,1,2
20:21.1,2655,9,153,0,1,2
20:21.2,1724,18,154,0,1,2
20:21.2,2128,13,155,0,1,2
20:21.3,3067,9,156,0,1,2
20:21.3,2926,12,157,0,1,2
20:21.4,1900,46,158,0,1,2
20:21.4,2047,106,159,0,1,2
20:21.4,5923,55,160,0,1,2
20:21.5,2971,9,161,0,1,2
20:21.5,2156,13,162,0,1,2
20:21.6,573,6,163,0,1,2
20:21.6,14,10,164,0,1,2
20:21.6,232,6,165,0,1,2
20:21.6,3284,7,166,0,1,2
20:21.7,1364,9,167,0,1,2
20:21.7,161,16,168,0,1,2
20:21.7,316,23,169,0,1,2
20:21.9,2084,16,170,0,1,2
20:21.9,2068,11,171,0,1,2
20:21.9,1180,39,172,0,1,2
20:22.2,2654,17,173,0,1,2
20:22.2,146,16,174,0,1,2
20:22.3,318,11,175,0,1,2
20:22.3,3288,10,176,0,1,2
20:22.4,252,17,177,0,1,2
20:22.4,35,14,178,0,1,2
20:22.5,337,13,179,0,1,2
20:22.5,109,6,180,0,1,2
20:22.5,148,43,181,0,1,2
20:22.5,985,27,182,0,1,2
20:22.5,2136,8,183,0,1,2
20:22.5,2657,7,184,0,1,2
20:22.7,3289,15,185,0,1,2
20:22.7,2136,12,186,0,1,2
20:22.8,135,6,187,0,1,2
20:22.8,181,105,188,0,1,2
20:22.9,3399,10,189,0,1,2
20:22.9,1067,9,190,0,1,2
20:22.9,5831,11,191,0,1,2
20:22.9,153,15,192,0,1,2
20:22.9,527,7,193,0,1,2
20:22.9,1905,17,194,0,1,2
20:23.0,1293,25,195,0,1,2
20:23.0,1180,6,196,0,1,2
20:23.0,61,21,197,0,1,2
20:23.1,1278,9,198,0,1,2
20:23.1,65,10,199,0,1,2
20:23.2,217,9,200,0,1,2
20:23.2,287,9,201,0,1,2
20:23.2,3064,15,202,0,1,2
20:23.2,116,10,203,0,1,2
20:23.2,1638,9,204,0,1,2
20:23.2,3396,7,205,0,1,2
20:23.4,2077,15,206,0,1,2
20:23.4,4629,6,207,0,1,2
20:23.4,1084,6,208,0,1,2
20:23.4,1259,8,209,0,1,2
20:23.5,7332,26,210,0,1,2
20:23.5,4081,29,211,0,1,2
20:23.7,1137,58,212,0,1,2
20:23.7,1430,12,213,0,1,2
20:23.8,596,6,214,0,1,2
20:23.8,174,18,215,0,1,2
20:23.8,2969,25,216,0,1,2
